source_expression,modality,modality_class,input_scale,probe_based,gene_aggregation,transform,status,provenance_kind,normalization_provenance,sample_binding_rule,matrix_features,matrix_columns,samples_declared,samples_bound,samples_one_row_several_libraries,samples_no_matching_column,matrix_columns_bound,matrix_columns_unbound,native_features,mapped_native_features,features_without_canonical_gene,canonical_genes,samples,input_nan_fraction,min,max,negative_fraction,zero_fraction,integer_like_fraction,output_min,output_max,output_negative_fraction,output_zero_fraction,route_check_expected,route_check_genes,route_check_max_abs_diff,linear_library_sum_min,linear_library_sum_max,canonical_count_mass_fraction_min,canonical_count_mass_fraction_median,canonical_count_mass_fraction_max,native_count_mass_median,library_denominator_max_rel_dev,canonical_cpm_mass_identity_holds,preprocessing_scope,fold_isolation,author_batch_corrected,failure,output_relpath,output_size_bytes
GSE319641_bulk,bulk RNA-seq,BULK_RNA,LINEAR_ABUNDANCE_COMBAT_ADJUSTED,False,MEDIAN_AFTER_TRANSFORM,LOG2_X_PLUS_1_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Gene-level transcripts per million (TPM) values were obtained using RSEM. TPM values were log2-transformed after adding an offset of 1, ComBat-corrected, and converted back to linear TPM."" The delivered matrix is therefore 2**y - 1 with y = ComBat(log2(TPM + 1)): it is not linear TPM any more (column sums no longer equal 1e6 and values reach -0.98), so the only legal within-source representation recovers the author-computed log scale by log2(x + 1). We perform no batch correction here; the matrix is flagged author_batch_corrected because the author already did it",GEO_SAMPLE_LABEL,23890,403,401,401,0,,401,2,23890,23889,1,23884,401,0.0,-0.9805975,3297408.0,0.07002575186145144,0.0,,-5.687613635030916,21.652901414681125,0.07003478157729107,0.0,LOG2_OF_X_PLUS_1,23879.0,0.0,204153.2100985903,4757895.123610851,,,,,,,AUTHOR_FULL_SOURCE,NOT_ESTABLISHED,True,,longitudinal-data/data/processed/expression_v0.3/GSE319641_bulk.canonical_log_expression.parquet,94942498
GSE319794_bulk,bulk RNA-seq,BULK_RNA,TPM,False,MEDIAN_AFTER_TRANSFORM,LOG2_TPM_PLUS_1_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,file name as distributed by the submitter,file name 'GSE319794_NovaSeq36_ProteinCoding_TPM.txt.gz' declares transcripts per million,NATIVE_ID_HEADER,18952,47,41,41,0,,41,6,18952,18811,141,18800,41,0.0,0.0,78605.3943355918,0.0,0.09696125770882023,,0.0,16.262359054641795,0.0,0.09455760249091853,LOG2_OF_X_PLUS_1,18789.0,0.0,993345.5035565308,998526.3342442787,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE319794_bulk.canonical_log_expression.parquet,7132212
GSE3578_array,microarray,MICROARRAY,UNKNOWN,True,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,SEMANTICS_NOT_ESTABLISHED,GEO series-matrix !Sample_data_processing (verbatim) (insufficient),"GEO data processing states only ""global median normalization"" for a 2004 spotted cDNA/oligo platform, and the delivered values are neither a documented linear intensity nor a documented log scale (median 1.008, 0.47% negative, maximum 1221.5), which is consistent with a ratio-like quantity. No legal transform exists without inventing one",GSM_ID_HEADER,54359,156,78,0,78,,0,156,54359,0,54359,0,0,,,,,,,,,,,,,,,,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,"GEO data processing states only ""global median normalization"" for a 2004 spotted cDNA/oligo platform, and the delivered values are neither a documented linear intensity nor a documented log scale (median 1.008, 0.47% negative, maximum 1221.5), which is consistent with a ratio-like quantity. No legal transform exists without inventing one",,0
GSE55374_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LOG,True,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Illumina probe profiles were quantile normalised using the lumi package""; lumi quantile-normalizes on the log2 scale",GSM_ID_HEADER,47323,36,36,36,0,,36,0,47323,31058,16265,20550,36,0.0,0.797461678,14.27810156,0.0,0.0,,0.797461678,14.15723324,0.0,0.0,IDENTITY,13596.0,0.0,814571.0871145934,1030749.640077259,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE55374_array.canonical_log_expression.parquet,7470622
GSE65303_array,microarray,MICROARRAY,UNKNOWN,True,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,SEMANTICS_NOT_ESTABLISHED,GEO series-matrix !Sample_data_processing (verbatim) (insufficient),"GEO data processing names the software used (arrayQualityMetrics, GEOquery, Biobase, marray, limma) but never states the normalization or the scale of the delivered values; magnitude alone is not an admissible basis, so the source fails closed until its submitters document it",GSM_ID_HEADER,44708,18,18,18,0,,18,0,44708,0,44708,0,0,,,,,,,,,,,,,,,,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,"GEO data processing names the software used (arrayQualityMetrics, GEOquery, Biobase, marray, limma) but never states the normalization or the scale of the delivered values; magnitude alone is not an admissible basis, so the source fails closed until its submitters document it",,0
GSE87455_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LINEAR,True,MEDIAN_AFTER_TRANSFORM,LOG2_X_PLUS_1_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""The data were normalised using quantile normalisation with BASE""; Illumina BASE writes linear summated normalized signal (all 275 columns share one fixed total), so the flagged extension route log2(x + 1) applies",GSM_ID_HEADER,47323,275,275,275,0,,275,0,47323,31058,16265,20550,275,0.0,80.13308,22412.99,0.0,0.0,,6.342218352380712,14.452111870915719,0.0,0.0,LOG2_OF_X_PLUS_1,13596.0,0.0,6904668.681121991,8571498.210372137,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE87455_array.canonical_log_expression.parquet,56132397
GSE91061_bulk,bulk RNA-seq,BULK_RNA,FPKM,False,MEDIAN_AFTER_TRANSFORM,LOG2_FPKM_PLUS_1_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,file name as distributed by the submitter,file name 'GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz' declares FPKM on the hg19 KnownGene annotation,NATIVE_ID_HEADER,22187,109,108,107,1,,107,2,22187,21813,374,21813,107,0.0,0.0,83863.9240323411,0.0,0.1930860413755803,,0.0,16.355779918396852,0.0,0.18943603467194176,LOG2_OF_X_PLUS_1,21813.0,0.0,307029.79887932714,615209.706013644,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE91061_bulk.canonical_log_expression.parquet,19306424
MGH_GSE115821_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_NATIVE_CPM_PLUS_1,QUANTITATIVE_READY,derivation code in this repository (we produced this file),per-gene count matrix assembled locally from the MGH GSE115821 HTSeq pipeline; the native row values are integer read counts per gene,MGH_LIBRARY_LABEL,75253,42,21,13,8,,13,29,75253,21021,54232,20997,13,0.0,0.0,1061102.0,0.0,0.4509076561220662,1.0,0.0,13.910782891175202,0.0,0.22440202080150645,LOG2_OF_NATIVE_CPM_PLUS_1,20973.0,0.0,757709.2639934013,962785.2332345052,0.7577092639933893,0.8452015604396926,0.9627852332345168,10510363.0,3.1283768336430165e-14,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/MGH_GSE115821_bulk.canonical_log_expression.parquet,855891
MGH_GSE168204_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_NATIVE_CPM_PLUS_1,QUANTITATIVE_READY,derivation code in this repository (we produced this file),per-gene count matrix assembled locally from the MGH GSE168204 HTSeq pipeline; the native row values are integer read counts per gene,MGH_LIBRARY_LABEL,75253,29,24,22,2,,22,7,75253,21048,54205,21023,22,2.65770135409884e-05,0.0,1664608.0,0.0,0.519067701909126,1.0,0.0,16.218579635985385,0.0,0.23098511154449888,LOG2_OF_NATIVE_CPM_PLUS_1,20998.0,0.0,686931.0648711997,969956.1137507329,0.6869310648711996,0.9338788355699148,0.9699561137507328,22568375.0,1.5758290601947688e-16,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/MGH_GSE168204_bulk.canonical_log_expression.parquet,1464597
MORRISON_bulk,bulk RNA-seq,BULK_RNA,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,file name as distributed by the submitter,"file name 'RNA-CancerCell-MORRISON1-no_batch_correction-logcpm-all_samples.tsv' declares author-computed log2 CPM and explicitly no batch correction, so the values pass through unchanged",NATIVE_ID_HEADER,21082,442,442,442,0,,442,0,21082,21070,12,21050,442,0.0,-4.20380105512226,19.1439515244218,0.32877020606028345,0.0,,-4.20380105512226,19.1439515244218,0.32826839780311906,0.0,IDENTITY,21031.0,0.0,607354.0981619534,4058244.0207142103,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/MORRISON_bulk.canonical_log_expression.parquet,30362137
TRIO_US_B07_array,two-channel microarray,MICROARRAY,UNKNOWN,True,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,SEMANTICS_NOT_ESTABLISHED,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Agilent Feature Extraction Software was used with no background subtraction and Linear/LOWESS normalization ... dye normalization select method = Rank Consistent probes"" and ""Agilent Feature Extracted data was imported into Rosetta Resolver version 7.2 ... Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging""; the matrix is centred on zero (50.5% negative, range -2.85 to 2.40), i.e. a two-channel log-ratio quantity, so there is no single-sample abundance to place on a canonical abundance scale",GSM_ID_HEADER,41000,110,1,1,0,,1,109,41000,0,41000,0,0,,,,,,,,,,,,,,,,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,"GEO data processing (verbatim): ""Agilent Feature Extraction Software was used with no background subtraction and Linear/LOWESS normalization ... dye normalization select method = Rank Consistent probes"" and ""Agilent Feature Extracted data was imported into Rosetta Resolver version 7.2 ... Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging""; the matrix is centred on zero (50.5% negative, range -2.85 to 2.40), i.e. a two-channel log-ratio quantity, so there is no single-sample abundance to place on a canonical abundance scale",,0
